player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
mindfreak,takej,PRX,DFM,2.0,1.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Astra,Controller
Jinggg,takej,PRX,DFM,5.0,1.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Phoenix,Duelist
Benkai,takej,PRX,DFM,4.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Killjoy,Sentinel
d4v41,takej,PRX,DFM,2.0,2.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Skye,Initiator
f0rsakeN,takej,PRX,DFM,2.0,5.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Jett,Duelist
mindfreak,xnfri,PRX,DFM,2.0,5.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Astra,Controller
Jinggg,xnfri,PRX,DFM,5.0,4.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Phoenix,Duelist
Benkai,xnfri,PRX,DFM,2.0,2.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Killjoy,Sentinel
f0rsakeN,xnfri,PRX,DFM,2.0,1.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Jett,Duelist
mindfreak,Anthem,PRX,DFM,3.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Astra,Controller
Jinggg,Anthem,PRX,DFM,3.0,4.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Phoenix,Duelist
Benkai,Anthem,PRX,DFM,3.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Killjoy,Sentinel
